PERMNO,date,TICKER,COMNAM,PERMCO,PRC,RET,SHROUT,RETX
76515,20150625,CVA,COVANTA HOLDING CORP,28924,21.60000,0.002294,133652,-0.009174
76515,20150626,CVA,COVANTA HOLDING CORP,28924,21.63000,0.001389,133652,0.001389
76515,20150629,CVA,COVANTA HOLDING CORP,28924,20.91000,-0.033287,133652,-0.033287
76515,20150630,CVA,COVANTA HOLDING CORP,28924,21.19000,0.013391,133652,0.013391
76515,20150701,CVA,COVANTA HOLDING CORP,28924,21.27000,0.003775,133652,0.003775
76515,20150702,CVA,COVANTA HOLDING CORP,28924,21.28000,0.000470,133652,0.000470
76515,20150706,CVA,COVANTA HOLDING CORP,28924,21.45000,0.007989,133652,0.007989
76515,20150707,CVA,COVANTA HOLDING CORP,28924,21.69000,0.011189,133652,0.011189
76515,20150708,CVA,COVANTA HOLDING CORP,28924,21.32000,-0.017059,133652,-0.017059
76515,20150709,CVA,COVANTA HOLDING CORP,28924,21.01000,-0.014540,133652,-0.014540
76515,20150710,CVA,COVANTA HOLDING CORP,28924,21.14000,0.006187,133652,0.006187
76515,20150713,CVA,COVANTA HOLDING CORP,28924,21.14000,0.000000,133652,0.000000
76515,20150714,CVA,COVANTA HOLDING CORP,28924,21.06000,-0.003784,133652,-0.003784
76515,20150715,CVA,COVANTA HOLDING CORP,28924,20.82000,-0.011396,133652,-0.011396
76515,20150716,CVA,COVANTA HOLDING CORP,28924,21.46000,0.030740,133652,0.030740
76515,20150717,CVA,COVANTA HOLDING CORP,28924,21.03000,-0.020037,133652,-0.020037
76515,20150720,CVA,COVANTA HOLDING CORP,28924,20.88000,-0.007133,133652,-0.007133
76515,20150721,CVA,COVANTA HOLDING CORP,28924,20.83000,-0.002395,133652,-0.002395
76515,20150722,CVA,COVANTA HOLDING CORP,28924,20.40000,-0.020643,133652,-0.020643
76515,20150723,CVA,COVANTA HOLDING CORP,28924,19.18000,-0.059804,133652,-0.059804
76515,20150724,CVA,COVANTA HOLDING CORP,28924,19.00000,-0.009385,133652,-0.009385
76515,20150727,CVA,COVANTA HOLDING CORP,28924,19.09000,0.004737,133652,0.004737
76515,20150728,CVA,COVANTA HOLDING CORP,28924,19.18000,0.004715,133652,0.004715
76515,20150729,CVA,COVANTA HOLDING CORP,28924,19.65000,0.024505,133652,0.024505
76515,20150730,CVA,COVANTA HOLDING CORP,28924,19.63000,-0.001018,133652,-0.001018
76515,20150731,CVA,COVANTA HOLDING CORP,28924,19.74000,0.005604,133177,0.005604
76515,20150803,CVA,COVANTA HOLDING CORP,28924,19.63000,-0.005572,133177,-0.005572
76515,20150804,CVA,COVANTA HOLDING CORP,28924,19.56000,-0.003566,133177,-0.003566
76515,20150805,CVA,COVANTA HOLDING CORP,28924,19.83000,0.013804,133177,0.013804
76515,20150806,CVA,COVANTA HOLDING CORP,28924,19.76000,-0.003530,133177,-0.003530
76515,20150807,CVA,COVANTA HOLDING CORP,28924,20.20000,0.022267,133177,0.022267
76515,20150810,CVA,COVANTA HOLDING CORP,28924,20.21000,0.000495,133177,0.000495
76515,20150811,CVA,COVANTA HOLDING CORP,28924,20.25000,0.001979,133177,0.001979
76515,20150812,CVA,COVANTA HOLDING CORP,28924,20.47000,0.010864,133177,0.010864
76515,20150813,CVA,COVANTA HOLDING CORP,28924,20.33000,-0.006839,133177,-0.006839
76515,20150814,CVA,COVANTA HOLDING CORP,28924,20.61000,0.013773,133177,0.013773
76515,20150817,CVA,COVANTA HOLDING CORP,28924,20.78000,0.008248,133177,0.008248
76515,20150818,CVA,COVANTA HOLDING CORP,28924,20.85000,0.003369,133177,0.003369
76515,20150819,CVA,COVANTA HOLDING CORP,28924,20.62000,-0.011031,133177,-0.011031
76515,20150820,CVA,COVANTA HOLDING CORP,28924,20.37000,-0.012124,133177,-0.012124
76515,20150821,CVA,COVANTA HOLDING CORP,28924,20.18000,-0.009327,133177,-0.009327
76515,20150824,CVA,COVANTA HOLDING CORP,28924,19.31000,-0.043112,133177,-0.043112
76515,20150825,CVA,COVANTA HOLDING CORP,28924,19.49000,0.009322,133177,0.009322
76515,20150826,CVA,COVANTA HOLDING CORP,28924,19.48000,-0.000513,133177,-0.000513
76515,20150827,CVA,COVANTA HOLDING CORP,28924,19.70000,0.011294,133177,0.011294
76515,20150828,CVA,COVANTA HOLDING CORP,28924,19.78000,0.004061,133177,0.004061
76515,20150831,CVA,COVANTA HOLDING CORP,28924,19.80000,0.001011,133177,0.001011
76515,20150901,CVA,COVANTA HOLDING CORP,28924,19.06000,-0.037374,133177,-0.037374
76515,20150902,CVA,COVANTA HOLDING CORP,28924,18.94000,-0.006296,133177,-0.006296
76515,20150903,CVA,COVANTA HOLDING CORP,28924,18.85000,-0.004752,133177,-0.004752
76515,20150904,CVA,COVANTA HOLDING CORP,28924,18.93000,0.004244,133177,0.004244
76515,20150908,CVA,COVANTA HOLDING CORP,28924,19.27000,0.017961,133177,0.017961
76515,20150909,CVA,COVANTA HOLDING CORP,28924,19.04000,-0.011936,133177,-0.011936
76515,20150910,CVA,COVANTA HOLDING CORP,28924,19.00000,-0.002101,133177,-0.002101
76515,20150911,CVA,COVANTA HOLDING CORP,28924,18.87000,-0.006842,133177,-0.006842
76515,20150914,CVA,COVANTA HOLDING CORP,28924,18.88000,0.000530,133177,0.000530
76515,20150915,CVA,COVANTA HOLDING CORP,28924,19.07000,0.010064,133177,0.010064
76515,20150916,CVA,COVANTA HOLDING CORP,28924,19.23000,0.008390,133177,0.008390
76515,20150917,CVA,COVANTA HOLDING CORP,28924,19.06000,-0.008840,133177,-0.008840
76515,20150918,CVA,COVANTA HOLDING CORP,28924,18.94000,-0.006296,133177,-0.006296
76515,20150921,CVA,COVANTA HOLDING CORP,28924,18.96000,0.001056,133177,0.001056
76515,20150922,CVA,COVANTA HOLDING CORP,28924,18.71000,-0.013186,133177,-0.013186
76515,20150923,CVA,COVANTA HOLDING CORP,28924,18.62000,-0.004810,133177,-0.004810
76515,20150924,CVA,COVANTA HOLDING CORP,28924,18.38000,-0.012889,133177,-0.012889
76515,20150925,CVA,COVANTA HOLDING CORP,28924,18.28000,-0.005441,133177,-0.005441
76515,20150928,CVA,COVANTA HOLDING CORP,28924,17.63000,-0.021882,133177,-0.035558
76515,20150929,CVA,COVANTA HOLDING CORP,28924,17.20000,-0.024390,133177,-0.024390
76515,20150930,CVA,COVANTA HOLDING CORP,28924,17.45000,0.014535,133177,0.014535
76515,20151001,CVA,COVANTA HOLDING CORP,28924,17.54000,0.005158,133177,0.005158
76515,20151002,CVA,COVANTA HOLDING CORP,28924,17.77000,0.013113,133177,0.013113
76515,20151005,CVA,COVANTA HOLDING CORP,28924,18.23000,0.025886,133177,0.025886
76515,20151006,CVA,COVANTA HOLDING CORP,28924,18.04000,-0.010422,133177,-0.010422
76515,20151007,CVA,COVANTA HOLDING CORP,28924,18.10000,0.003326,133177,0.003326
76515,20151008,CVA,COVANTA HOLDING CORP,28924,18.24000,0.007735,133177,0.007735
76515,20151009,CVA,COVANTA HOLDING CORP,28924,17.86000,-0.020833,133177,-0.020833
76515,20151012,CVA,COVANTA HOLDING CORP,28924,17.44000,-0.023516,133177,-0.023516
76515,20151013,CVA,COVANTA HOLDING CORP,28924,17.37000,-0.004014,133177,-0.004014
76515,20151014,CVA,COVANTA HOLDING CORP,28924,17.21000,-0.009211,133177,-0.009211
76515,20151015,CVA,COVANTA HOLDING CORP,28924,17.54000,0.019175,133177,0.019175
76515,20151016,CVA,COVANTA HOLDING CORP,28924,17.61000,0.003991,133177,0.003991
76515,20151019,CVA,COVANTA HOLDING CORP,28924,17.14000,-0.026689,133177,-0.026689
76515,20151020,CVA,COVANTA HOLDING CORP,28924,17.90000,0.044341,133177,0.044341
76515,20151021,CVA,COVANTA HOLDING CORP,28924,17.76000,-0.007821,133177,-0.007821
76515,20151022,CVA,COVANTA HOLDING CORP,28924,17.55000,-0.011824,133177,-0.011824
76515,20151023,CVA,COVANTA HOLDING CORP,28924,16.97000,-0.033048,133177,-0.033048
76515,20151026,CVA,COVANTA HOLDING CORP,28924,17.07000,0.005893,133177,0.005893
76515,20151027,CVA,COVANTA HOLDING CORP,28924,16.73000,-0.019918,133177,-0.019918
76515,20151028,CVA,COVANTA HOLDING CORP,28924,16.58000,-0.008966,133177,-0.008966
76515,20151029,CVA,COVANTA HOLDING CORP,28924,17.34000,0.045838,133177,0.045838
76515,20151030,CVA,COVANTA HOLDING CORP,28924,16.76000,-0.033449,133170,-0.033449
76515,20151102,CVA,COVANTA HOLDING CORP,28924,16.89000,0.007757,133170,0.007757
76515,20151103,CVA,COVANTA HOLDING CORP,28924,17.08000,0.011249,133170,0.011249
76515,20151104,CVA,COVANTA HOLDING CORP,28924,16.72000,-0.021077,133170,-0.021077
76515,20151105,CVA,COVANTA HOLDING CORP,28924,16.53000,-0.011364,133170,-0.011364
76515,20151106,CVA,COVANTA HOLDING CORP,28924,16.10000,-0.026013,133170,-0.026013
76515,20151109,CVA,COVANTA HOLDING CORP,28924,15.98000,-0.007453,133170,-0.007453
76515,20151110,CVA,COVANTA HOLDING CORP,28924,15.67000,-0.019399,133170,-0.019399
76515,20151111,CVA,COVANTA HOLDING CORP,28924,15.31000,-0.022974,133170,-0.022974
76515,20151112,CVA,COVANTA HOLDING CORP,28924,15.10000,-0.013717,133170,-0.013717
76515,20151113,CVA,COVANTA HOLDING CORP,28924,15.23000,0.008609,133170,0.008609
76515,20151116,CVA,COVANTA HOLDING CORP,28924,15.44000,0.013789,133170,0.013789
76515,20151117,CVA,COVANTA HOLDING CORP,28924,15.32000,-0.007772,133170,-0.007772
76515,20151118,CVA,COVANTA HOLDING CORP,28924,15.51000,0.012402,133170,0.012402
76515,20151119,CVA,COVANTA HOLDING CORP,28924,15.75000,0.015474,133170,0.015474
76515,20151120,CVA,COVANTA HOLDING CORP,28924,15.75000,0.000000,133170,0.000000
76515,20151123,CVA,COVANTA HOLDING CORP,28924,15.75000,0.000000,133170,0.000000
76515,20151124,CVA,COVANTA HOLDING CORP,28924,15.88000,0.008254,133170,0.008254
76515,20151125,CVA,COVANTA HOLDING CORP,28924,16.09000,0.013224,133170,0.013224
76515,20151127,CVA,COVANTA HOLDING CORP,28924,16.08000,-0.000622,133170,-0.000622
76515,20151130,CVA,COVANTA HOLDING CORP,28924,16.15000,0.004353,133170,0.004353
76515,20151201,CVA,COVANTA HOLDING CORP,28924,16.40000,0.015480,133170,0.015480
76515,20151202,CVA,COVANTA HOLDING CORP,28924,16.19000,-0.012805,133170,-0.012805
76515,20151203,CVA,COVANTA HOLDING CORP,28924,16.30000,0.006794,133170,0.006794
76515,20151204,CVA,COVANTA HOLDING CORP,28924,16.11000,-0.011656,133170,-0.011656
76515,20151207,CVA,COVANTA HOLDING CORP,28924,15.06000,-0.065177,133170,-0.065177
76515,20151208,CVA,COVANTA HOLDING CORP,28924,15.02000,-0.002656,133170,-0.002656
76515,20151209,CVA,COVANTA HOLDING CORP,28924,15.09000,0.004660,133170,0.004660
76515,20151210,CVA,COVANTA HOLDING CORP,28924,15.16000,0.004639,133170,0.004639
76515,20151211,CVA,COVANTA HOLDING CORP,28924,14.25000,-0.060026,133170,-0.060026
76515,20151214,CVA,COVANTA HOLDING CORP,28924,13.79000,-0.032281,133170,-0.032281
76515,20151215,CVA,COVANTA HOLDING CORP,28924,14.90000,0.080493,133170,0.080493
76515,20151216,CVA,COVANTA HOLDING CORP,28924,15.85000,0.063758,133170,0.063758
76515,20151217,CVA,COVANTA HOLDING CORP,28924,15.79000,-0.003786,133170,-0.003786
76515,20151218,CVA,COVANTA HOLDING CORP,28924,16.05000,0.016466,133170,0.016466
76515,20151221,CVA,COVANTA HOLDING CORP,28924,16.35000,0.018692,133170,0.018692
76515,20151222,CVA,COVANTA HOLDING CORP,28924,16.26000,-0.005505,133170,-0.005505
76515,20151223,CVA,COVANTA HOLDING CORP,28924,16.25000,-0.000615,133170,-0.000615
76515,20151224,CVA,COVANTA HOLDING CORP,28924,16.11000,-0.008615,133170,-0.008615
76515,20151228,CVA,COVANTA HOLDING CORP,28924,15.71000,-0.009311,133170,-0.024829
76515,20151229,CVA,COVANTA HOLDING CORP,28924,15.61000,-0.006365,133170,-0.006365
76515,20151230,CVA,COVANTA HOLDING CORP,28924,15.50000,-0.007047,133170,-0.007047
