caldt,vwretd,vwretx,ewretd,ewretx,totval
20120312,0.000227,0.000168,-0.002306,-0.002381,12675856900.00
20120313,0.018365,0.018022,0.018525,0.018286,12904082900.00
20120314,-0.001188,-0.001218,-0.003597,-0.003651,12903701200.00
20120315,0.006001,0.005985,0.008482,0.008431,12980890400.00
20120316,0.001059,0.001056,0.001339,0.001331,12994663900.00
20120319,0.003784,0.003777,0.002363,0.002329,13044180600.00
20120320,-0.002844,-0.002856,-0.005286,-0.005322,13006907800.00
20120321,-0.001866,-0.001898,-0.000434,-0.000515,12982218800.00
20120322,-0.007124,-0.007176,-0.009000,-0.009026,12889060800.00
20120323,0.003121,0.003121,0.003508,0.003508,12928859000.00
20120326,0.013912,0.013912,0.013560,0.013560,13107880500.00
20120327,-0.002598,-0.002702,-0.002750,-0.002782,13072461500.00
20120328,-0.004714,-0.004948,-0.007708,-0.008007,13008146700.00
20120329,-0.001632,-0.001658,-0.001142,-0.001181,12986585500.00
20120330,0.003730,0.003726,0.003372,0.003362,13039494000.00
20120402,0.007407,0.007354,0.007935,0.007877,13125570000.00
20120403,-0.003787,-0.004023,-0.004892,-0.005002,13072759800.00
20120404,-0.010034,-0.010061,-0.011043,-0.011103,12949454500.00
20120405,-0.000117,-0.000463,-0.002264,-0.002380,12943984500.00
20120409,-0.011358,-0.011389,-0.013588,-0.013607,12796531300.00
20120410,-0.017067,-0.017072,-0.018769,-0.018776,12582954300.00
20120411,0.007588,0.007440,0.010111,0.010030,12676572500.00
20120412,0.013798,0.013787,0.016522,0.016491,12851339900.00
20120413,-0.012421,-0.012437,-0.012050,-0.012062,12691715300.00
20120416,-0.000450,-0.000450,-0.000509,-0.000509,12686225500.00
20120417,0.015507,0.015503,0.015000,0.014986,12882927600.00
20120418,-0.003952,-0.003956,-0.005031,-0.005078,12832068000.00
20120419,-0.005824,-0.005873,-0.003463,-0.003506,12756778700.00
20120420,0.001370,0.001347,0.000902,0.000889,12772392000.00
20120423,-0.008769,-0.008789,-0.009883,-0.009912,12660157500.00
20120424,0.003327,0.003327,0.002916,0.002916,12702274100.00
20120425,0.013676,0.013538,0.013105,0.013061,12874479600.00
20120426,0.007024,0.006968,0.007615,0.007524,12963949500.00
20120427,0.002704,0.002678,0.003281,0.003182,12999227700.00
20120430,-0.003841,-0.003860,-0.002732,-0.002748,12936189900.00
20120501,0.005573,0.005571,0.006491,0.006486,13007095200.00
20120502,-0.002329,-0.002441,-0.003190,-0.003249,12975368300.00
20120503,-0.007570,-0.007741,-0.009982,-0.010100,12874646000.00
20120504,-0.016202,-0.016228,-0.016381,-0.016461,12665124400.00
20120507,0.000175,0.000158,-0.000635,-0.000670,12667124600.00
20120508,-0.004166,-0.004297,-0.006080,-0.006196,12612689600.00
20120509,-0.006242,-0.006572,-0.004207,-0.004386,12529800900.00
20120510,0.002691,0.002405,0.001376,0.001240,12559927200.00
20120511,-0.003215,-0.003330,-0.002279,-0.002371,12518174500.00
20120514,-0.011019,-0.011118,-0.011465,-0.011608,12378979500.00
20120515,-0.005451,-0.005643,-0.008058,-0.008185,12309126300.00
20120516,-0.004271,-0.004606,-0.007266,-0.007514,12252435000.00
20120517,-0.014673,-0.014772,-0.018830,-0.018933,12071436900.00
20120518,-0.007276,-0.007286,-0.008976,-0.008996,11983019800.00
20120521,0.016123,0.016107,0.020085,0.020051,12176029800.00
20120522,0.000573,0.000550,0.000479,0.000433,12170582200.00
20120523,0.001839,0.001797,0.003889,0.003818,12192447800.00
20120524,0.001519,0.001366,0.000498,0.000403,12210936700.00
20120525,-0.002080,-0.002082,0.001037,0.001022,12198320600.00
20120529,0.011299,0.011140,0.013079,0.012916,12334211000.00
20120530,-0.014079,-0.014381,-0.018852,-0.019206,12156834300.00
20120531,-0.002107,-0.002212,-0.003700,-0.003776,12122975400.00
20120601,-0.024708,-0.024748,-0.028189,-0.028230,11822895500.00
20120604,0.000295,0.000267,-0.001832,-0.001899,11825974000.00
20120605,0.005835,0.005801,0.010286,0.010258,11895954600.00
20120606,0.023073,0.022801,0.024434,0.024026,12170300400.00
20120607,0.000014,-0.000046,-0.002021,-0.002161,12169742900.00
20120608,0.008371,0.008351,0.007976,0.007938,12271374000.00
20120611,-0.012739,-0.012789,-0.016293,-0.016352,12114554300.00
20120612,0.011654,0.011638,0.012715,0.012674,12255542500.00
20120613,-0.006675,-0.007032,-0.010372,-0.010631,12169357900.00
20120614,0.010730,0.010710,0.010412,0.010367,12299697300.00
20120615,0.010421,0.010417,0.012505,0.012499,12427404200.00
20120618,0.001494,0.001478,0.002122,0.002069,12445767300.00
20120619,0.009845,0.009826,0.012436,0.012363,12568061300.00
20120620,-0.001449,-0.001489,-0.001488,-0.001562,12548883600.00
20120621,-0.022091,-0.022239,-0.025592,-0.025616,12269809400.00
20120622,0.007081,0.007079,0.007188,0.007177,12355917500.00
20120625,-0.015578,-0.015696,-0.018119,-0.018155,12161982800.00
20120626,0.004758,0.004756,0.005196,0.005190,12219852300.00
20120627,0.008995,0.008765,0.010611,0.010308,12326961600.00
20120628,-0.002167,-0.002217,0.000501,0.000429,12299635600.00
20120629,0.025166,0.025128,0.027728,0.027697,12600286300.00
20120702,0.002405,0.002347,0.001845,0.001792,12621828500.00
20120703,0.006713,0.006484,0.009228,0.009102,12703665000.00
20120705,-0.004557,-0.004570,-0.004347,-0.004376,12645607800.00
20120706,-0.009039,-0.009382,-0.010985,-0.011080,12526961500.00
20120709,-0.001629,-0.001641,-0.005392,-0.005416,12506403700.00
20120710,-0.008019,-0.008024,-0.010442,-0.010452,12406057100.00
20120711,-0.000020,-0.000144,0.000026,-0.000024,12404267400.00
20120712,-0.005030,-0.005038,-0.005953,-0.005983,12341771800.00
20120713,0.016617,0.016596,0.016244,0.016227,12546530900.00
20120716,-0.002319,-0.002319,-0.003947,-0.003947,12516462900.00
20120717,0.007375,0.007375,0.007511,0.007511,12608777600.00
20120718,0.006779,0.006629,0.008719,0.008684,12692147300.00
20120719,0.002712,0.002609,0.003719,0.003647,12725482700.00
20120720,-0.009819,-0.009842,-0.012487,-0.012499,12600412200.00
20120723,-0.009045,-0.009067,-0.010620,-0.010650,12486054300.00
20120724,-0.009039,-0.009039,-0.011772,-0.011772,12373225300.00
20120725,-0.000343,-0.000365,0.000050,0.000011,12369011900.00
20120726,0.016661,0.016636,0.018019,0.017983,12574793300.00
20120727,0.019238,0.019176,0.022037,0.021945,12797366900.00
20120730,-0.000306,-0.000346,-0.001926,-0.002071,12792509500.00
20120731,-0.004437,-0.004443,-0.005888,-0.005898,12762979000.00
20120801,-0.003073,-0.003232,-0.004175,-0.004252,12721654800.00
20120802,-0.007161,-0.007240,-0.008698,-0.008791,12629552000.00
20120803,0.019034,0.018914,0.022043,0.021979,12868249900.00
20120806,0.002376,0.002352,0.004186,0.004102,12898190700.00
20120807,0.005174,0.005156,0.010413,0.010385,12964694600.00
20120808,0.001014,0.000658,0.002724,0.002476,12973224600.00
20120809,0.000757,0.000329,0.001909,0.001822,12977543800.00
20120810,0.002143,0.002111,0.001802,0.001700,13005096600.00
20120813,-0.001029,-0.001219,-0.002090,-0.002305,12989231600.00
20120814,0.000231,0.000046,-0.001588,-0.001672,12989681400.00
20120815,0.001656,0.001306,0.003639,0.003395,13006640500.00
20120816,0.006944,0.006883,0.008663,0.008589,13096162400.00
20120817,0.001860,0.001857,0.002501,0.002494,13120409000.00
20120820,-0.000025,-0.000044,-0.001110,-0.001153,13119845600.00
20120821,-0.003603,-0.003647,-0.001520,-0.001603,13072003900.00
20120822,0.000250,0.000187,-0.001135,-0.001202,13074442100.00
20120823,-0.007941,-0.007955,-0.009487,-0.009534,12970437800.00
20120824,0.006713,0.006557,0.005719,0.005637,13055299400.00
20120827,-0.000408,-0.000417,-0.001832,-0.001849,13049861700.00
20120828,-0.000706,-0.000765,-0.000579,-0.000618,13039882100.00
20120829,0.001133,0.000899,0.002433,0.002067,13051660200.00
20120830,-0.007663,-0.007807,-0.007992,-0.008129,12949761600.00
20120831,0.005188,0.005171,0.005378,0.005330,12981524900.00
20120904,-0.000936,-0.000956,-0.001435,-0.001475,12968803600.00
20120905,-0.000866,-0.001116,-0.000906,-0.001217,12975562400.00
